source_id,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,ruwe,teff_gspphot,lum_flame
143948302826937856,44.48754915614917,40.485153252744546,1.0551399245801019,0.06697721,15.7537155,16.755936,1.5105762,1.0051494,4573.2197,0.20994413
206519005602824448,74.29623561719184,45.85011857100745,0.8483140725551563,0.025220942,33.635303,14.958855,1.1959562,1.0131058,6881.4634,3.2690246
233437489792992640,60.24296068393377,45.04023883781508,0.9042334460530329,0.0693645,13.035969,16.981575,1.6190033,1.0076712,4724.8203,0.3230144
238418002589042048,52.92687503374548,42.99216327036569,3.5028421558318015,0.06075226,57.657806,16.653973,2.485961,0.97763664,3658.2786,0.048673805
239865715801544064,46.896816515529736,41.0004798158719,0.8814467072799694,0.03661064,24.076242,15.104675,0.9712591,0.9937209,5605.8257,1.0194547
241385824990112128,50.73572611332682,43.78722550800793,2.045093423937926,0.08255888,24.771332,16.884153,2.1557026,1.1714486,4038.7676,0.0952216
241599370765037056,51.664183214553354,44.20498502534396,0.6306168249162668,0.041535757,15.182505,15.869308,1.056344,1.0126426,5779.3496,1.2497153
246180142362948608,63.52339031453846,47.97714735947294,0.4733738827693325,0.021965178,21.551107,14.378502,2.1807833,0.9989933,5294.541,40.681606
249487404619637888,54.50462860442031,49.147937212500025,0.9262571526196468,0.030209884,30.660732,15.434185,1.2597246,0.97049344,5624.3486,1.1352996
268747957820487552,88.6382565737622,57.31251647629645,1.4626795913979187,0.014679403,99.641624,12.313149,0.7687826,1.0242045,6228.74,5.103408
270025762131266304,85.98872083175505,58.883836450700954,1.4671871798071734,0.118679486,12.362601,17.7358,2.224638,1.0085421,3831.649,0.08457215
270458729196332672,65.43707265826136,49.8916226228158,0.5566577101831702,0.014556564,38.24101,12.431502,2.0983543,1.0383791,4885.6025,210.33928
339366428578249984,35.60406762336495,42.70098221446346,1.3748693842939663,0.020463286,67.187126,12.232433,0.84774494,1.253749,5908.5645,5.6483274
339384025060236416,35.3983316815036,42.89568193094864,1.497414137228117,0.088628136,16.895472,17.366137,2.1961536,0.9977254,3661.234,0.092895105
339476418396503424,36.351771621891736,42.01544967236684,1.0509541286805852,0.06190539,16.976778,16.045843,1.2895594,1.1061696,4515.199,0.30919343
345189171576731520,32.103156334185904,41.28522506501774,2.486241501745153,0.018394705,135.16072,13.149145,0.93775845,1.1506802,5526.012,0.7287288
350060042447721344,28.792322175580797,45.727243357965975,0.27857367992284376,0.017217584,16.179604,12.446554,1.4401817,1.2962531,4421.373,144.7304
358808306715420928,34.08959156949822,51.479397467393504,0.6430019260976473,0.022623435,28.421942,14.003029,0.62669086,0.93087405,7200.79,5.747433
376986223218488064,15.296731989887078,45.03935089803282,2.4759157205291906,0.021552889,114.87628,14.475262,1.2576895,0.9988273,4754.9736,0.25231433
377619232679065216,13.200812422147154,45.389483312624975,0.816130117099413,0.03624571,22.516598,15.766609,0.9121113,0.9344215,5581.471,0.5863434
387132688317725184,0.0879592850270239,46.848298908370325,1.5866493261470587,0.02064635,76.8489,13.926265,0.9302826,1.0501177,5487.3687,0.8682423
392670378633420928,4.668587878755438,47.782240874770096,1.5123025947020854,0.07653865,19.758678,17.210815,2.1764603,1.0283874,3979.5784,0.12782197
399530334756469120,23.48221764932599,48.54636303043872,0.5457117971559763,0.029668301,18.393766,15.082488,0.88561344,1.0669955,5844.389,2.567073
413562542677279360,16.928533374667126,57.22947950729668,0.40753866579763975,0.037012126,11.01095,15.93137,1.0066805,1.0058486,7055.1455,4.3590703
417241474217512320,13.061915328131178,53.68423999031245,0.8647757595425026,0.030364031,28.480268,15.237384,0.99519825,1.0203815,5515.8438,1.0175784
423974226292493184,14.78200687558425,56.397418821383496,0.7967158411657937,0.047268413,16.855143,16.287312,1.239728,1.0311518,5041.9062,0.5245918
424634075009312512,11.585937599556049,57.182522422547144,1.0532732409665817,0.036872268,28.565458,16.072805,1.3403234,0.95087093,4896.106,0.39088115
428364095188906752,4.8772804133578935,59.88403977633937,1.8450678943893009,0.07088715,26.028242,17.36432,2.1031017,0.91828024,4202.1196,0.0860529
429576207981344896,4.373866728827454,61.09425887394114,0.6187930980227394,0.021723656,28.48476,15.111289,1.2772369,1.0112543,6443.2065,4.9064207
434300156602486912,45.60487750241828,46.92118655596719,0.9143804440400538,0.050239723,18.200348,16.263838,1.2378464,0.98820114,5108.8203,0.4168957
435204088302430208,50.091633246047905,47.30572876132701,0.4389088069584037,0.01640946,26.747305,13.577674,1.7440691,1.1281066,4734.261,37.638504
438747268821007232,42.85849635626118,49.94344504305924,1.093917092279808,0.024890065,43.949947,14.30493,1.1996374,1.1303923,6272.98,2.7138772
441135030121125504,44.538708602967844,52.98583467376776,1.0971005197219477,0.042568583,25.77254,15.983828,1.7315207,1.0490944,6053.3765,1.3311641
444434458352017024,59.124293714310156,54.725947109456,1.6207077723581131,0.11308485,14.331784,18.01615,2.2561111,1.0026352,3807.2695,0.06620061
448120571088619264,52.85750898223512,54.72591669744519,1.0738331574616762,0.05671453,18.934004,16.685059,1.7154751,1.0229143,4657.558,0.36541405
448397716738662144,51.670738969874854,55.399060987344505,0.7749340581359421,0.05740526,13.499356,16.36907,2.0980568,1.0231158,7651.2783,6.8588395
449072679438149504,54.420383787018,57.78897361617666,1.1113907957212918,0.054491736,20.395584,16.582241,1.856844,1.0408483,4478.0576,0.45217654
451269847267960448,39.4629538892019,51.47437583317844,0.7767920051875437,0.03468027,22.398672,15.324923,1.1391687,1.0402262,5885.7085,1.6607193
452551396794056064,37.37748425776919,53.463489626331764,1.6178632361356642,0.014069616,114.98986,13.4974375,0.9569597,1.0239623,5735.048,1.4721156
455629578375486208,37.08333502021857,54.433588073255656,0.4596795520536717,0.025591936,17.961891,14.753185,0.8318033,1.0464048,7082.4844,7.6674194
461352471978172672,44.10046734108703,58.57864405402138,2.77778796335443,0.017956782,154.69298,14.183806,1.3488903,0.95739657,5126.019,0.36892435
466116003028793344,40.221017871135665,63.18116308783896,1.1222701193877902,0.021806968,51.46383,12.934844,1.1827965,1.382133,6397.0884,10.06013
471292813002392448,68.7323324408852,59.91677311234019,0.47200628791284893,0.023967216,19.69383,14.885911,1.1784983,1.0634128,7128.204,12.182126
473982836920807680,61.59968934005576,61.57940934946124,1.75427554705746,0.017773684,98.70072,13.947045,1.1365719,1.2873034,5945.2866,1.21207
481000572962830080,82.70723965541792,66.67057766560332,0.3172718106802571,0.02085343,15.214371,14.751105,1.335515,1.0413032,4839.6714,12.192228
481076679787790208,80.54883942567164,66.16881077519129,0.45208078944225444,0.032326944,13.984644,15.547392,0.8074398,1.0286702,6455.244,2.954479
481845066612737024,88.3182036323555,68.89219475806483,0.9452593362377502,0.06704365,14.099164,17.226446,1.4618549,1.0380837,4499.6147,0.1555159
484313332778952960,82.76699001962221,67.6376380425976,1.2022225430199471,0.040573906,29.630436,16.044432,1.4391718,1.0155098,4913.177,0.37155342
490970497728997376,49.372107779155634,64.08426220677521,0.39858718245948793,0.024583131,16.213848,15.095667,1.0858402,1.0501788,9644.572,31.147108
493470340492591360,56.76067861062832,67.84281955582522,2.6727256518739315,0.013228712,202.03976,11.834019,0.9213028,1.0663363,6006.2124,2.7069497
495939259493176832,70.76583229135198,69.09214636579507,0.9117300197611854,0.019492274,46.773914,14.433031,0.95635986,0.9564171,5725.708,1.8815019
498143952104127104,79.84783136876666,71.46796121672341,0.3271552443316906,0.014484219,22.587011,14.221097,1.2933369,1.063507,4976.3765,19.145237
499205358781547008,79.92173087945497,72.65207796536362,1.2369954436927566,0.040896334,30.247099,16.488352,1.4773273,0.9979068,4593.4873,0.18614514
499402377520885632,85.81758329685313,73.3602798623145,0.7027776822285632,0.013735671,51.164425,13.593156,1.2146854,1.0815563,5162.7075,7.866241
499591665319864192,88.92787710202941,74.21857371207558,0.6360749645048898,0.027042588,23.52123,15.591661,0.91696835,0.97704947,5837.8413,1.3280853
502483037304918016,77.16251486515746,73.90916118748022,0.4065853070864973,0.026947264,15.088185,15.506226,0.9548559,1.053494,5330.463,2.861786
505651176987655552,26.942380238186974,57.08233562728179,0.8233699463370546,0.030213026,27.252151,15.369341,1.0278978,1.0681056,5649.4453,1.0528127
505961685941264000,26.605955548440523,57.72107920638376,0.45022544153154076,0.03155248,14.269099,15.596462,1.0892401,1.0235063,6447.1235,4.3639903
512173239443209216,27.331885364605803,64.02447590587695,0.3270714980155592,0.024230428,13.498379,15.106904,0.7821579,0.9892027,9007.686,22.686626
514525404053892608,36.87402291431594,64.61344449033665,0.5087680176766307,0.025564617,19.901257,15.160432,1.463109,1.0175921,7465.2275,15.8816185
517916263553200000,30.09756029310192,63.572337326334505,0.7647863606022184,0.057951078,13.1971035,17.217201,1.4987812,0.9998212,4667.62,0.32414985
518054217904837120,29.144652564549148,64.87859609566004,1.8763072778455367,0.044115998,42.53122,16.427502,1.8486576,0.96727246,4415.0205,0.14933543
521506787488039040,30.124890266987904,69.27781425864383,0.8407475419456995,0.026199782,32.089867,15.35464,1.7004147,1.0989227,5734.7993,3.204097
523305313639582336,16.886608864088608,63.3769365066232,0.33965972250630394,0.01831009,18.550413,14.66401,1.2526588,0.91586304,9943.975,93.02928
525317900953877376,19.84828805307189,65.75219934838634,0.3562254609609498,0.020795997,17.12952,14.857391,2.3426828,1.0110396,5076.2925,51.792248
527569666406609920,8.918118558261824,65.73835470621093,2.279802902636281,0.051353008,44.39473,16.759026,2.3476334,1.0985383,4490.2676,0.1832921
530676164708626304,0.16014505492953837,69.51705348723041,0.6384618453860007,0.022668986,28.164553,15.173795,2.4035082,1.0059211,5308.861,16.863762
531389369798460928,0.03382677332738296,71.97094414241144,0.5618877285455729,0.05127161,10.959043,16.82259,1.3676891,0.99391836,4949.909,0.7793956
532398549675463040,19.844598905343357,69.84593731354707,0.2005816271257015,0.018602664,10.782414,14.443778,1.8201466,1.1999257,4746.3643,81.45039
532480154054200704,22.10733011277562,70.51031495664769,0.39715413612245387,0.033610694,11.816302,15.85762,1.399765,1.0654349,6720.818,8.074913
532682837850771584,16.555734434834783,69.11443611033452,3.9405395678810593,0.0747302,52.730213,17.324215,2.701336,0.959123,3450.4094,0.021467827
545827297499202432,40.91214343496708,72.36464211173939,0.6448059205050023,0.051974453,12.406209,16.660093,1.7507896,0.96009487,4942.1,1.2410074
550740946244845312,60.74449086699935,75.3281219748592,2.003658414697293,0.02114185,94.77214,15.227357,1.4486732,1.0064628,4678.9907,0.23242283
551672988507041152,67.88994269502881,78.05574004790074,0.7956634268115552,0.03306179,24.06595,16.104856,1.1629772,1.0610626,5054.921,0.5271221
551955906593882880,77.78834862104588,77.12810401590843,0.5060808263593489,0.025650915,19.729544,15.618479,0.93068504,1.031722,6026.4688,2.1678038
555828042948856192,62.611281668425256,79.75648387775651,1.3385373579114463,0.013665141,97.95269,10.100284,1.310669,1.0272392,4672.886,51.170425
